Name,Sex,Team,NOC,Year,City,Sport,Event,Medal
John Ruuka,M,Kiribati,KIR,2016,Rio de Janeiro,Athletics,Athletics Men's 100 metres,No medal
Karitaake Tewaaki,F,Kiribati,KIR,2016,Rio de Janeiro,Athletics,Athletics Women's 100 metres,No medal
Kinaua Biribo,F,Kiribati,KIR,2020,Tokyo,Judo,Women -70 kg,No medal
Ruben Katoatau,M,Kiribati,KIR,2020,Tokyo,Weightlifting,Men's 67kg,No medal
Lataisi Mwea,M,Kiribati,KIR,2020,Tokyo,Athletics,Men's 100m,No medal
Kaimauri Erati,M,Kiribati,KIR,2024,Paris,Weightlifting,Men's 61kg,No medal
Kenaz Kaniwete,M,Kiribati,KIR,2024,Paris,Athletics,Men's 100m,No medal
Nera Tiebwa,F,Kiribati,KIR,2024,Paris,Judo,Women -57 kg,No medal
Mohamed Khalifa,M,Libya,LBA,1968,Mexico City,Athletics,Athletics Men's 400 metres Hurdles,No medal
Fawzi Abdussalam,M,Libya,LBA,1980,Moskva,Cycling,Cycling Men's Sprint,No medal
Bashir Al-fellah,M,Libya,LBA,1980,Moskva,Athletics,Athletics Men's 4 x 400 metres Relay,No medal
Enemri Al-marghani,M,Libya,LBA,1980,Moskva,Athletics,Athletics Men's Marathon,No medal
Kamaluddin Badi,M,Libya,LBA,1980,Moskva,Volleyball,Volleyball Men's Volleyball,No medal
El-Munsif Youssef,M,Libya,LBA,1980,Moskva,Cycling,"Cycling Men's Road Race, Individual",No medal
Issa Chetoui,M,Libya,LBA,1980,Moskva,Athletics,Athletics Men's Marathon,No medal
El-Mehdi Diab,M,Libya,LBA,1980,Moskva,Athletics,Athletics Men's 400 metres,No medal
El-Mehdi Diab,M,Libya,LBA,1980,Moskva,Athletics,Athletics Men's 4 x 400 metres Relay,No medal
Ali El-aila,M,Libya,LBA,1980,Moskva,Cycling,"Cycling Men's Road Race, Individual",No medal
Ali El-aila,M,Libya,LBA,1980,Moskva,Cycling,Cycling Men's 100 kilometres Team Time Trial,No medal
Ahmed El-faghei,M,Libya,LBA,1980,Moskva,Volleyball,Volleyball Men's Volleyball,No medal
Mohamed El-kamaa,M,Libya,LBA,1980,Moskva,Cycling,Cycling Men's 100 kilometres Team Time Trial,No medal
Adnan El-khuja,M,Libya,LBA,1980,Moskva,Volleyball,Volleyball Men's Volleyball,No medal
Mohamed El-margini,M,Libya,LBA,1980,Moskva,Athletics,Athletics Men's 800 metres,No medal
Mohamed El-margini,M,Libya,LBA,1980,Moskva,Athletics,Athletics Men's 4 x 400 metres Relay,No medal
Mustafa El-musbah,M,Libya,LBA,1980,Moskva,Volleyball,Volleyball Men's Volleyball,No medal
Mohamed El-naser,M,Libya,LBA,1980,Moskva,Swimming,Swimming Men's 100 metres Breaststroke,No medal
Nadia Fezzani,F,Libya,LBA,1980,Moskva,Swimming,Swimming Women's 100 metres Freestyle,No medal
Nadia Fezzani,F,Libya,LBA,1980,Moskva,Swimming,Swimming Women's 100 metres Butterfly,No medal
Soad Fezzani,F,Libya,LBA,1980,Moskva,Swimming,Swimming Women's 200 metres Freestyle,No medal
Soad Fezzani,F,Libya,LBA,1980,Moskva,Swimming,Swimming Women's 400 metres Freestyle,No medal
Soad Fezzani,F,Libya,LBA,1980,Moskva,Swimming,Swimming Women's 100 metres Backstroke,No medal
Mohamed Ganfud,M,Libya,LBA,1980,Moskva,Cycling,"Cycling Men's Road Race, Individual",No medal
Nuri Kaheil,M,Libya,LBA,1980,Moskva,Cycling,"Cycling Men's Road Race, Individual",No medal
Nuri Kaheil,M,Libya,LBA,1980,Moskva,Cycling,Cycling Men's 100 kilometres Team Time Trial,No medal
Marzouk Mabrouk,M,Libya,LBA,1980,Moskva,Athletics,"Athletics Men's 1,500 metres",No medal
Almabruk Mahmud,M,Libya,LBA,1980,Moskva,Weightlifting,Weightlifting Men's Flyweight,No medal
Samid Sagar,M,Libya,LBA,1980,Moskva,Volleyball,Volleyball Men's Volleyball,No medal
Ahmed Sallouma,M,Libya,LBA,1980,Moskva,Athletics,Athletics Men's 200 metres,No medal
Ahmed Sallouma,M,Libya,LBA,1980,Moskva,Athletics,Athletics Men's 4 x 400 metres Relay,No medal
Ali Shalabi,M,Libya,LBA,1980,Moskva,Weightlifting,Weightlifting Men's Bantamweight,No medal
Khalid Shebani,M,Libya,LBA,1980,Moskva,Cycling,Cycling Men's 100 kilometres Team Time Trial,No medal
Khalid Shebani,M,Libya,LBA,1980,Moskva,Cycling,"Cycling Men's 1,000 metres Time Trial",No medal
Abdulwahab Werfeli,M,Libya,LBA,1980,Moskva,Swimming,Swimming Men's 100 metres Freestyle,No medal
Awad Zakka,M,Libya,LBA,1980,Moskva,Volleyball,Volleyball Men's Volleyball,No medal
Miloud Zakka,M,Libya,LBA,1980,Moskva,Volleyball,Volleyball Men's Volleyball,No medal
Jamal Zarugh,M,Libya,LBA,1980,Moskva,Volleyball,Volleyball Men's Volleyball,No medal
Ahmed Zoubi,M,Libya,LBA,1980,Moskva,Volleyball,Volleyball Men's Volleyball,No medal
Fathi Aboud,M,Libya,LBA,1988,Seoul,Athletics,Athletics Men's Triple Jump,No medal
Abdullah Ahmed,M,Libya,LBA,1988,Seoul,Athletics,Athletics Men's 200 metres,No medal
Abdullah Ahmed,M,Libya,LBA,1988,Seoul,Athletics,Athletics Men's 400 metres,No medal
Abdullah Badri,M,Libya,LBA,1988,Seoul,Cycling,"Cycling Men's Road Race, Individual",No medal
Abdel El-hadi,M,Libya,LBA,1988,Seoul,Cycling,"Cycling Men's Road Race, Individual",No medal
Ahmed El-magrisi,M,Libya,LBA,1988,Seoul,Weightlifting,Weightlifting Men's Middle-Heavyweight,No medal
Abdullah Mussa,M,Libya,LBA,1988,Seoul,Weightlifting,Weightlifting Men's Middle-Heavyweight,No medal
Mustafa Ahshad,M,Libya,LBA,1992,Barcelona,Weightlifting,Weightlifting Men's Super-Heavyweight,No medal
Said El-agimi,M,Libya,LBA,1992,Barcelona,Judo,Judo Men's Half-Lightweight,No medal
Attaher El-mahjoub,M,Libya,LBA,1992,Barcelona,Table Tennis,Table Tennis Men's Singles,No medal
Yahia Gregni,M,Libya,LBA,1992,Barcelona,Judo,Judo Men's Half-Middleweight,No medal
Mohamed Taher,M,Libya,LBA,1992,Barcelona,Athletics,Athletics Men's Marathon,No medal
Moustafa Naser,M,Libya,LBA,1996,Atlanta,Athletics,Athletics Men's 400 metres,No medal
Adel Adili,M,Libya,LBA,1996,Atlanta,Athletics,Athletics Men's Marathon,No medal
Ali El-zaidi,M,Libya,LBA,1996,Atlanta,Athletics,"Athletics Men's 1,500 metres",No medal
Khaled Saleh,M,Libya,LBA,1996,Atlanta,Athletics,Athletics Men's 100 metres,No medal
Yousef Shadi,M,Libya,LBA,1996,Atlanta,Cycling,"Cycling Men's Road Race, Individual",No medal
Adel Adili,M,Libya,LBA,2000,Sydney,Athletics,Athletics Men's Marathon,No medal
Tarek Ayad,M,Libya,LBA,2000,Sydney,Judo,Judo Men's Half-Lightweight,No medal
Nizar Naeeli,M,Libya,LBA,2000,Sydney,Taekwondo,Taekwondo Men's Featherweight,No medal
Hamza Abughalia,M,Libya,LBA,2004,Athina,Weightlifting,Weightlifting Men's Light-Heavyweight,No medal
Mohamed Saleh,M,Libya,LBA,2004,Athina,Judo,Judo Men's Half-Middleweight,No medal
Amira Edrahi,F,Libya,LBA,2004,Athina,Swimming,Swimming Women's 50 metres Freestyle,No medal
Ruwida El-hubti,F,Libya,LBA,2004,Athina,Athletics,Athletics Women's 400 metres,No medal
Ali El-zaidi,M,Libya,LBA,2004,Athina,Athletics,Athletics Men's Marathon,No medal
Mohamed Eshtiwi,M,Libya,LBA,2004,Athina,Weightlifting,Weightlifting Men's Middleweight,No medal
Khaled Al-ghezzawi,M,Libya,LBA,2004,Athina,Swimming,Swimming Men's 50 metres Freestyle,No medal
Salem Tlish,M,Libya,LBA,2004,Athina,Taekwondo,Taekwondo Men's Flyweight,No medal
Ghada Ali,F,Libya,LBA,2008,Beijing,Athletics,Athletics Women's 400 metres,No medal
Ahmed Belgasem,M,Libya,LBA,2008,Beijing,Cycling,"Cycling Men's Road Race, Individual",No medal
Mohamed Saleh,M,Libya,LBA,2008,Beijing,Judo,Judo Men's Half-Heavyweight,No medal
Sofyan El-gadi,M,Libya,LBA,2008,Beijing,Swimming,Swimming Men's 100 metres Freestyle,No medal
Ali El-zaidi,M,Libya,LBA,2008,Beijing,Athletics,Athletics Men's Marathon,No medal
Asmahan Farhat,F,Libya,LBA,2008,Beijing,Swimming,Swimming Women's 100 metres Breaststroke,No medal
Sofyan El-gadi,M,Libya,LBA,2012,London,Swimming,Swimming Men's 100 metres Butterfly,No medal
Ahmed El-kawiseh,M,Libya,LBA,2012,London,Judo,Judo Men's Half-Lightweight,No medal
Ali El-zaidi,M,Libya,LBA,2012,London,Athletics,Athletics Men's Marathon,No medal
Abdusalam Gezah,F,Libya,LBA,2012,London,Athletics,Athletics Women's 100 metres,No medal
Ahmad Attellesey,M,Libya,LBA,2016,Rio de Janeiro,Swimming,Swimming Men's 50 metres Freestyle,No medal
Ali El-ghrari,M,Libya,LBA,2016,Rio de Janeiro,Archery,Archery Men's Individual,No medal
Mohamed El-kawisah,M,Libya,LBA,2016,Rio de Janeiro,Judo,Judo Men's Extra-Lightweight,No medal
Hussein Gambour,M,Libya,LBA,2016,Rio de Janeiro,Rowing,Rowing Men's Single Sculls,No medal
Daniah Hagul,F,Libya,LBA,2016,Rio de Janeiro,Swimming,Swimming Women's 100 metres Breaststroke,No medal
Mohamed Hrezi,M,Libya,LBA,2016,Rio de Janeiro,Athletics,Athletics Men's Marathon,No medal
Yousef Shriha,M,Libya,LBA,2016,Rio de Janeiro,Taekwondo,Taekwondo Men's Flyweight,No medal
Hadel Aboud,F,Libya,LBA,2020,Tokyo,Athletics,Women's 100m,No medal
Alhussein Ghambour,M,Libya,LBA,2020,Tokyo,Rowing,Men's Single Sculls,No medal
Hamed Hassouna,M,Libya,LBA,2020,Tokyo,Swimming,Men's 200m Freestyle,No medal
Ali Omar,M,Libya,LBA,2020,Tokyo,Judo,Men +100 kg,No medal
Ahmed Abuzriba,M,Libya,LBA,2024,Paris,Weightlifting,Men's 102kg,No medal
Mohamed Bukrah,M,Libya,LBA,2024,Paris,Rowing,Men's Single Sculls,No medal
Mohammed Bin,M,Libya,LBA,2024,Paris,Shooting,10m Air Pistol Men,No medal
Ahmed Essabai,M,Libya,LBA,2024,Paris,Athletics,Men's 100m,No medal
Mek Almukhtar,F,Libya,LBA,2024,Paris,Swimming,Women's 100m Backstroke,No medal
Yousef Abubaker,M,Libya,LBA,2024,Paris,Swimming,Men's 100m Freestyle,No medal
George Johnson,M,Liberia,LBR,1956,Melbourne,Athletics,Athletics Men's 400 metres,No medal
George Johnson,M,Liberia,LBR,1956,Melbourne,Athletics,Athletics Men's 800 metres,No medal
George Johnson,M,Liberia,LBR,1956,Melbourne,Athletics,Athletics Men's 4 x 100 metres Relay,No medal
Edward Martins,M,Liberia,LBR,1956,Melbourne,Athletics,Athletics Men's 4 x 100 metres Relay,No medal
Edward Martins,M,Liberia,LBR,1956,Melbourne,Athletics,Athletics Men's Long Jump,No medal
Emmanuel Putu,M,Liberia,LBR,1956,Melbourne,Athletics,Athletics Men's 100 metres,No medal
Emmanuel Putu,M,Liberia,LBR,1956,Melbourne,Athletics,Athletics Men's 200 metres,No medal
Emmanuel Putu,M,Liberia,LBR,1956,Melbourne,Athletics,Athletics Men's 4 x 100 metres Relay,No medal
James Roberts,M,Liberia,LBR,1956,Melbourne,Athletics,Athletics Men's 100 metres,No medal
James Roberts,M,Liberia,LBR,1956,Melbourne,Athletics,Athletics Men's 200 metres,No medal
James Roberts,M,Liberia,LBR,1956,Melbourne,Athletics,Athletics Men's 4 x 100 metres Relay,No medal
George Johnson,M,Liberia,LBR,1960,Roma,Athletics,Athletics Men's 400 metres,No medal
George Johnson,M,Liberia,LBR,1960,Roma,Athletics,Athletics Men's 800 metres,No medal
Alifu Massaquoi,M,Liberia,LBR,1960,Roma,Athletics,Athletics Men's Marathon,No medal
Emmanuel Putu,M,Liberia,LBR,1960,Roma,Athletics,Athletics Men's 100 metres,No medal
James Roberts,M,Liberia,LBR,1960,Roma,Athletics,Athletics Men's 100 metres,No medal
James Roberts,M,Liberia,LBR,1960,Roma,Athletics,Athletics Men's 200 metres,No medal
Wesley Johnson,M,Liberia,LBR,1964,Tokyo,Athletics,Athletics Men's 100 metres,No medal
Wesley Johnson,M,Liberia,LBR,1964,Tokyo,Athletics,Athletics Men's 200 metres,No medal
Thomas Howe,M,Liberia,LBR,1972,Munich,Athletics,Athletics Men's 800 metres,No medal
Edward Kar,M,Liberia,LBR,1972,Munich,Athletics,"Athletics Men's 1,500 metres",No medal
Thomas N'ma,M,Liberia,LBR,1972,Munich,Athletics,Athletics Men's 400 metres,No medal
Dominic Saidu,M,Liberia,LBR,1972,Munich,Athletics,Athletics Men's 200 metres,No medal
Andrew Sartee,M,Liberia,LBR,1972,Munich,Athletics,Athletics Men's 100 metres,No medal
Oliver Daniels,M,Liberia,LBR,1984,Los Angeles,Athletics,Athletics Men's 100 metres,No medal
Oliver Daniels,M,Liberia,LBR,1984,Los Angeles,Athletics,Athletics Men's 4 x 100 metres Relay,No medal
Grace Dinkins,F,Liberia,LBR,1984,Los Angeles,Athletics,Athletics Women's 100 metres,No medal
Augustus Moulton,M,Liberia,LBR,1984,Los Angeles,Athletics,Athletics Men's 200 metres,No medal
Augustus Moulton,M,Liberia,LBR,1984,Los Angeles,Athletics,Athletics Men's 4 x 100 metres Relay,No medal
Wallace Obey,M,Liberia,LBR,1984,Los Angeles,Athletics,Athletics Men's 4 x 100 metres Relay,No medal
Samuel Sarkpa,M,Liberia,LBR,1984,Los Angeles,Athletics,Athletics Men's 400 metres,No medal
Hassan Tall,M,Liberia,LBR,1984,Los Angeles,Athletics,Athletics Men's 4 x 100 metres Relay,No medal
Nimley Twegbe,M,Liberia,LBR,1984,Los Angeles,Athletics,"Athletics Men's 5,000 metres",No medal
Nimley Twegbe,M,Liberia,LBR,1984,Los Angeles,Athletics,Athletics Men's Marathon,No medal
Samuel Birch,M,Liberia,LBR,1988,Seoul,Athletics,Athletics Men's 100 metres,No medal
Oliver Daniels,M,Liberia,LBR,1988,Seoul,Athletics,Athletics Men's 100 metres,No medal
Oliver Daniels,M,Liberia,LBR,1988,Seoul,Athletics,Athletics Men's 200 metres,No medal
Thomas Gbay,M,Liberia,LBR,1988,Seoul,Boxing,Boxing Men's Lightweight,No medal
Thomas Stephens,M,Liberia,LBR,1988,Seoul,Boxing,Boxing Men's Bantamweight,No medal
Samuel Stewart,M,Liberia,LBR,1988,Seoul,Boxing,Boxing Men's Light-Flyweight,No medal
Simeon Stubblefield,M,Liberia,LBR,1988,Seoul,Boxing,Boxing Men's Middleweight,No medal
Nimley Twegbe,M,Liberia,LBR,1988,Seoul,Athletics,Athletics Men's 800 metres,No medal
Melvina Vulah,F,Liberia,LBR,1988,Seoul,Athletics,Athletics Women's 100 metres,No medal
Melvina Vulah,F,Liberia,LBR,1988,Seoul,Athletics,Athletics Women's 200 metres,No medal
Melvina Vulah,F,Liberia,LBR,1988,Seoul,Athletics,Athletics Women's Long Jump,No medal
Sayon Cooper,M,Liberia,LBR,1996,Atlanta,Athletics,Athletics Men's 100 metres,No medal
Sayon Cooper,M,Liberia,LBR,1996,Atlanta,Athletics,Athletics Men's 4 x 100 metres Relay,No medal
Robert Dennis,M,Liberia,LBR,1996,Atlanta,Athletics,Athletics Men's 100 metres,No medal
Robert Dennis,M,Liberia,LBR,1996,Atlanta,Athletics,Athletics Men's 4 x 100 metres Relay,No medal
Grace Dinkins,F,Liberia,LBR,1996,Atlanta,Athletics,Athletics Women's 400 metres,No medal
Kouty Mawenh,M,Liberia,LBR,1996,Atlanta,Athletics,Athletics Men's 4 x 100 metres Relay,No medal
Edward Neufville,M,Liberia,LBR,1996,Atlanta,Athletics,Athletics Men's 4 x 100 metres Relay,No medal
Hannah Cooper,F,Liberia,LBR,2000,Sydney,Athletics,Athletics Women's 100 metres Hurdles,No medal
Sayon Cooper,M,Liberia,LBR,2000,Sydney,Athletics,Athletics Men's 100 metres,No medal
Sayon Cooper,M,Liberia,LBR,2000,Sydney,Athletics,Athletics Men's 200 metres,No medal
Sayon Cooper,M,Liberia,LBR,2000,Sydney,Athletics,Athletics Men's 4 x 100 metres Relay,No medal
Grace Dinkins,F,Liberia,LBR,2000,Sydney,Athletics,Athletics Women's 100 metres,No medal
Kouty Mawenh,M,Liberia,LBR,2000,Sydney,Athletics,Athletics Men's 4 x 100 metres Relay,No medal
Koiyan Morlu,M,Liberia,LBR,2000,Sydney,Athletics,Athletics Men's 4 x 100 metres Relay,No medal
Andrew Reyes,M,Liberia,LBR,2000,Sydney,Athletics,Athletics Men's 4 x 100 metres Relay,No medal
Paul Sehzue,M,Liberia,LBR,2000,Sydney,Athletics,Athletics Men's 110 metres Hurdles,No medal
Robert True,M,Liberia,LBR,2000,Sydney,Athletics,Athletics Men's 800 metres,No medal
Gladys Thompson,F,Liberia,LBR,2004,Athina,Athletics,Athletics Women's 200 metres,No medal
Sultan Tucker,M,Liberia,LBR,2004,Athina,Athletics,Athletics Men's 110 metres Hurdles,No medal
Jangy Addy,M,Liberia,LBR,2008,Beijing,Athletics,Athletics Men's Decathlon,No medal
Kia Davis,F,Liberia,LBR,2008,Beijing,Athletics,Athletics Women's 200 metres,No medal
Kia Davis,F,Liberia,LBR,2008,Beijing,Athletics,Athletics Women's 400 metres,No medal
Siraj Williams,M,Liberia,LBR,2008,Beijing,Athletics,Athletics Men's 400 metres,No medal
Jangy Addy,M,Liberia,LBR,2012,London,Athletics,Athletics Men's Decathlon,No medal
Phobay Kutu-akoi,F,Liberia,LBR,2012,London,Athletics,Athletics Women's 100 metres,No medal
Raasin Mcintosh,F,Liberia,LBR,2012,London,Athletics,Athletics Women's 400 metres Hurdles,No medal
Mariam Kromah,F,Liberia,LBR,2016,Rio de Janeiro,Athletics,Athletics Women's 400 metres,No medal
Emmanuel Matadi,M,Liberia,LBR,2016,Rio de Janeiro,Athletics,Athletics Men's 100 metres,No medal
Emmanuel Matadi,M,Liberia,LBR,2016,Rio de Janeiro,Athletics,Athletics Men's 200 metres,No medal
Joseph Fahnbulleh,M,Liberia,LBR,2020,Tokyo,Athletics,Men's 200m,No medal
Emmanuel Matadi,M,Liberia,LBR,2020,Tokyo,Athletics,Men's 100m,No medal
Emmanuel Matadi,M,Liberia,LBR,2020,Tokyo,Athletics,Men's 200m,No medal
Ebony Morrison,F,Liberia,LBR,2020,Tokyo,Athletics,Women's 100m Hurdles,No medal
Emmanuel Matadi,M,Liberia,LBR,2024,Paris,Athletics,Men's 100m,No medal
Emmanuel Matadi,M,Liberia,LBR,2024,Paris,Athletics,Men's 4 x 100m Relay,No medal
Joseph Fahnbulleh,M,Liberia,LBR,2024,Paris,Athletics,Men's 200m,No medal
Joseph Fahnbulleh,M,Liberia,LBR,2024,Paris,Athletics,Men's 4 x 100m Relay,No medal
Jabez Reeves,M,Liberia,LBR,2024,Paris,Athletics,Men's 4 x 100m Relay,No medal
John Sherman,M,Liberia,LBR,2024,Paris,Athletics,Men's 4 x 100m Relay,No medal
Akeem Sirleaf,M,Liberia,LBR,2024,Paris,Athletics,Men's 4 x 100m Relay,No medal
Ebony Morrison,F,Liberia,LBR,2024,Paris,Athletics,Women's 100m Hurdles,No medal
Destiny Smith-barnett,F,Liberia,LBR,2024,Paris,Athletics,Women's 100m,No medal
Thelma Davies,F,Liberia,LBR,2024,Paris,Athletics,Women's 100m,No medal
Motsapi Moorosi,M,Lesotho,LES,1972,Munich,Athletics,Athletics Men's 100 metres,No medal
Motsapi Moorosi,M,Lesotho,LES,1972,Munich,Athletics,Athletics Men's 200 metres,No medal
Kenneth Hlasa,M,Lesotho,LES,1980,Moskva,Athletics,Athletics Men's 800 metres,No medal
Kenneth Hlasa,M,Lesotho,LES,1980,Moskva,Athletics,Athletics Men's Marathon,No medal
Joseph Letseka,M,Lesotho,LES,1980,Moskva,Athletics,Athletics Men's 100 metres,No medal
Joseph Letseka,M,Lesotho,LES,1980,Moskva,Athletics,Athletics Men's 200 metres,No medal
Mopeli Molapo,M,Lesotho,LES,1980,Moskva,Athletics,"Athletics Men's 1,500 metres",No medal
Gabashane Rakabaele,M,Lesotho,LES,1980,Moskva,Athletics,Athletics Men's Marathon,No medal
Motlalepula Thabana,M,Lesotho,LES,1980,Moskva,Athletics,"Athletics Men's 10,000 metres",No medal
Tsiu Monne,M,Lesotho,LES,1984,Los Angeles,Boxing,Boxing Men's Middleweight,No medal
Frans Ntaole,M,Lesotho,LES,1984,Los Angeles,Athletics,"Athletics Men's 10,000 metres",No medal
Frans Ntaole,M,Lesotho,LES,1984,Los Angeles,Athletics,Athletics Men's Marathon,No medal
Gabashane Rakabaele,M,Lesotho,LES,1984,Los Angeles,Athletics,Athletics Men's Marathon,No medal
Lefa Tsapi,M,Lesotho,LES,1984,Los Angeles,Boxing,Boxing Men's Welterweight,No medal
Mothobi Kharitse,M,Lesotho,LES,1988,Seoul,Athletics,Athletics Men's 100 metres,No medal
Teboho Mathibeli,M,Lesotho,LES,1988,Seoul,Boxing,Boxing Men's Flyweight,No medal
Mohala Mohloli,M,Lesotho,LES,1988,Seoul,Athletics,Athletics Men's Marathon,No medal
Sello Mojela,M,Lesotho,LES,1988,Seoul,Boxing,Boxing Men's Middleweight,No medal
Ncholu Monontsi,M,Lesotho,LES,1988,Seoul,Boxing,Boxing Men's Light-Middleweight,No medal
Noheku Nteso,M,Lesotho,LES,1988,Seoul,Athletics,Athletics Men's Marathon,No medal
Henry Mohoanyane,M,Lesotho,LES,1992,Barcelona,Athletics,Athletics Men's 400 metres,No medal
Thabiso Moqhali,M,Lesotho,LES,1992,Barcelona,Athletics,Athletics Men's Marathon,No medal
Tello Namane,M,Lesotho,LES,1992,Barcelona,Athletics,"Athletics Men's 5,000 metres",No medal
Mantokoane Sephooa,F,Lesotho,LES,1992,Barcelona,Athletics,Athletics Women's 800 metres,No medal
Mantokoane Sephooa,F,Lesotho,LES,1992,Barcelona,Athletics,"Athletics Women's 1,500 metres",No medal
Patrick Rama,M,Lesotho,LES,1992,Barcelona,Athletics,"Athletics Men's 10,000 metres",No medal
Bothloko Shebe,M,Lesotho,LES,1992,Barcelona,Athletics,Athletics Men's 100 metres,No medal
Bothloko Shebe,M,Lesotho,LES,1992,Barcelona,Athletics,Athletics Men's 200 metres,No medal
Nteboheleng Koaeana,F,Lesotho,LES,1996,Atlanta,Athletics,Athletics Women's 4 x 100 metres Relay,No medal
Makoekoe Mahanetsa,M,Lesotho,LES,1996,Atlanta,Athletics,Athletics Men's 4 x 400 metres Relay,No medal
Motlatsi Maseela,M,Lesotho,LES,1996,Atlanta,Athletics,Athletics Men's 4 x 400 metres Relay,No medal
Mpho Morobe,M,Lesotho,LES,1996,Atlanta,Athletics,Athletics Men's 400 metres,No medal
Mpho Morobe,M,Lesotho,LES,1996,Atlanta,Athletics,Athletics Men's 4 x 400 metres Relay,No medal
Thabisio Ralekhetla,M,Lesotho,LES,1996,Atlanta,Athletics,Athletics Men's Marathon,No medal
Isaac Seatile,M,Lesotho,LES,1996,Atlanta,Athletics,Athletics Men's 4 x 400 metres Relay,No medal
Sebongile Sello,F,Lesotho,LES,1996,Atlanta,Athletics,Athletics Women's 4 x 100 metres Relay,No medal
Lineo Shoai,F,Lesotho,LES,1996,Atlanta,Athletics,Athletics Women's 200 metres,No medal
Lineo Shoai,F,Lesotho,LES,1996,Atlanta,Athletics,Athletics Women's 4 x 100 metres Relay,No medal
M'apotlaki Ts'elho,F,Lesotho,LES,1996,Atlanta,Athletics,Athletics Women's 4 x 100 metres Relay,No medal
Sebusiso Keketsi,M,Lesotho,LES,2000,Sydney,Boxing,Boxing Men's Light-Flyweight,No medal
Mokete Mokhosi,M,Lesotho,LES,2000,Sydney,Taekwondo,Taekwondo Men's Welterweight,No medal
Thabiso Moqhali,M,Lesotho,LES,2000,Sydney,Athletics,Athletics Men's Marathon,No medal
Lineo Shoai,F,Lesotho,LES,2000,Sydney,Athletics,Athletics Women's 200 metres,No medal
Likeleli Thamae,F,Lesotho,LES,2000,Sydney,Taekwondo,Taekwondo Women's Flyweight,No medal
Mosolesa Tsie,M,Lesotho,LES,2000,Sydney,Boxing,Boxing Men's Welterweight,No medal
Mamokete Lechela,F,Lesotho,LES,2004,Athina,Athletics,Athletics Women's Marathon,No medal
Lineo Mochesane,F,Lesotho,LES,2004,Athina,Taekwondo,Taekwondo Women's Flyweight,No medal
Mpesela Ntlot'soeu,M,Lesotho,LES,2004,Athina,Athletics,Athletics Men's Marathon,No medal
Clement Lebopo,M,Lesotho,LES,2008,Beijing,Athletics,Athletics Men's Marathon,No medal
Simon Maine,M,Lesotho,LES,2008,Beijing,Athletics,Athletics Men's Marathon,No medal
Moses Mosuhli,M,Lesotho,LES,2008,Beijing,Athletics,Athletics Men's Marathon,No medal
Emanuel Nketu,M,Lesotho,LES,2008,Beijing,Boxing,Boxing Men's Bantamweight,No medal
Mamorallo Tjoka,F,Lesotho,LES,2008,Beijing,Athletics,Athletics Women's Marathon,No medal
Mosito Lehata,M,Lesotho,LES,2012,London,Athletics,Athletics Men's 200 metres,No medal
Tsepo Ramonene-mathibelle,M,Lesotho,LES,2012,London,Athletics,Athletics Men's Marathon,No medal
Masempe Theko,F,Lesotho,LES,2012,London,Swimming,Swimming Women's 50 metres Freestyle,No medal
Mamorallo Tjoka,F,Lesotho,LES,2012,London,Athletics,Athletics Women's Marathon,No medal
Mosito Lehata,M,Lesotho,LES,2016,Rio de Janeiro,Athletics,Athletics Men's 100 metres,No medal
Mosito Lehata,M,Lesotho,LES,2016,Rio de Janeiro,Athletics,Athletics Men's 200 metres,No medal
Moroke Mokhotho,M,Lesotho,LES,2016,Rio de Janeiro,Boxing,Boxing Men's Flyweight,No medal
Phetetso Monese,M,Lesotho,LES,2016,Rio de Janeiro,Cycling,"Cycling Men's Mountainbike, Cross-Country",No medal
Namakoe Nkhasi,M,Lesotho,LES,2016,Rio de Janeiro,Athletics,"Athletics Men's 5,000 metres",No medal
Lebenya Nkoka,M,Lesotho,LES,2016,Rio de Janeiro,Athletics,Athletics Men's Marathon,No medal
Tsepo Ramonene-mathibelle,M,Lesotho,LES,2016,Rio de Janeiro,Athletics,Athletics Men's Marathon,No medal
Tsepang Sello,F,Lesotho,LES,2016,Rio de Janeiro,Athletics,Athletics Women's 800 metres,No medal
Inkululeko Suntele,M,Lesotho,LES,2016,Rio de Janeiro,Boxing,Boxing Men's Bantamweight,No medal
Neheng Khatala,F,Lesotho,LES,2020,Tokyo,Athletics,Women's Marathon,No medal
Khoarahlane Seutloali,M,Lesotho,LES,2020,Tokyo,Athletics,Men's Marathon,No medal
Tebello Ramakongoana,M,Lesotho,LES,2024,Paris,Athletics,Men's Marathon,No medal
Michelle Tau,F,Lesotho,LES,2024,Paris,Taekwondo,Women -49kg,No medal
Blandina Makatisi,F,Lesotho,LES,2024,Paris,Athletics,Women's Marathon,No medal
Xaver Frick,M,Liechtenstein,LIE,1936,Berlin,Athletics,Athletics Men's 100 metres,No medal
Xaver Frick,M,Liechtenstein,LIE,1936,Berlin,Athletics,Athletics Men's 200 metres,No medal
Augustin Hilti,M,Liechtenstein,LIE,1936,Berlin,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",No medal
Rudolf Jehle,M,Liechtenstein,LIE,1936,Berlin,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",No medal
Oskar Ospelt,M,Liechtenstein,LIE,1936,Berlin,Athletics,Athletics Men's 100 metres,No medal
